Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,4770.000000,5275.000000,4760.000000,5100.000000,4840.651855,1949491800
2023-05-01,5100.000000,5625.000000,5025.000000,5575.000000,5291.497559,3701713200
2023-06-01,5575.000000,5600.000000,5350.000000,5425.000000,5149.125000,1868006700
2023-07-01,5500.000000,5750.000000,5375.000000,5650.000000,5362.683105,2247933300
2023-08-01,5650.000000,5750.000000,5450.000000,5550.000000,5267.768555,2232087900
2023-09-01,5600.000000,5650.000000,5175.000000,5225.000000,4959.295410,2114247000
2023-10-01,5250.000000,5375.000000,4920.000000,4960.000000,4707.771484,2670566700
2023-11-01,4920.000000,5450.000000,4830.000000,5275.000000,5006.753418,2647435000
2023-12-01,5275.000000,5750.000000,5275.000000,5725.000000,5433.869629,2573450600
2024-01-01,5725.000000,5900.000000,5400.000000,5700.000000,5410.140625,2623770000
2024-02-01,5775.000000,6375.000000,5725.000000,6125.000000,5900.097656,2636876600
2024-03-01,6175.000000,6450.000000,5950.000000,6050.000000,5827.851563,2526094000
2024-04-01,null,null,null,null,null,null
