Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,4675.000000,4800.000000,4600.000000,4712.500000,4497.567383,643083200
2023-05-01,4712.500000,4775.000000,4325.000000,4525.000000,4318.619141,1524244400
2023-06-01,4525.000000,4650.000000,4462.500000,4575.000000,4366.338867,725180000
2023-07-01,4600.000000,4625.000000,4400.000000,4437.500000,4235.109863,1120774200
2023-08-01,4412.500000,4650.000000,4312.500000,4587.500000,4378.268555,1167324200
2023-09-01,4600.000000,5212.500000,4587.500000,5162.500000,4927.043457,1409047400
2023-10-01,5162.500000,5425.000000,4720.000000,4790.000000,4571.532715,1137225800
2023-11-01,4930.000000,5350.000000,4790.000000,5275.000000,5034.412598,1225989900
2023-12-01,5300.000000,5425.000000,5050.000000,5375.000000,5129.851563,811415300
2024-01-01,5375.000000,5800.000000,5300.000000,5750.000000,5487.748047,994149500
2024-02-01,5750.000000,6225.000000,5650.000000,6000.000000,5726.346191,943109500
2024-03-01,5925.000000,6250.000000,5725.000000,5900.000000,5630.906738,956587100
