Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,8825.000000,9200.000000,8650.000000,9050.000000,8804.144531,1097882300
2023-05-01,9050.000000,9325.000000,8700.000000,9050.000000,8804.144531,2259737500
2023-06-01,9050.000000,9325.000000,8950.000000,9150.000000,8901.427734,1050138400
2023-07-01,9025.000000,9400.000000,9025.000000,9125.000000,8877.106445,1307303300
2023-08-01,9175.000000,9450.000000,9100.000000,9175.000000,8925.748047,1406160600
2023-09-01,9200.000000,9275.000000,8825.000000,8825.000000,8585.256836,1277052400
2023-10-01,8900.000000,9250.000000,8700.000000,8750.000000,8512.293945,1473758400
2023-11-01,8750.000000,9075.000000,8600.000000,8975.000000,8731.181641,1367708700
2023-12-01,8925.000000,9450.000000,8675.000000,9400.000000,9144.635742,1671827300
2024-01-01,9400.000000,9775.000000,9300.000000,9550.000000,9334.888672,1474778300
2024-02-01,9650.000000,10025.000000,9525.000000,9875.000000,9652.567383,1483790400
2024-03-01,9900.000000,10400.000000,9750.000000,10075.000000,9848.062500,1470759300
2024-04-01,null,null,null,null,null,null
